지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
129,서산,2025-04-01 00:00,5.5,,1.4,92,,,,6
129,서산,2025-04-01 01:00,3.8,,.8,93,,,,3
129,서산,2025-04-01 02:00,2.5,,.5,93,,,,0
129,서산,2025-04-01 03:00,2.7,,.9,97,,,,0
129,서산,2025-04-01 04:00,1.6,,0,96,,,,0
129,서산,2025-04-01 05:00,1.9,,0,97,,,,0
129,서산,2025-04-01 06:00,3,,.4,97,,,,0
129,서산,2025-04-01 07:00,3.9,,.3,97,0,.04,,0
129,서산,2025-04-01 08:00,5.4,,.8,98,.4,.51,,7
129,서산,2025-04-01 09:00,6.7,,2.4,90,.3,1.08,,5
129,서산,2025-04-01 10:00,10.1,,1.6,70,.8,1.86,,0
129,서산,2025-04-01 11:00,12.3,,2.2,45,1,2.57,,0
129,서산,2025-04-01 12:00,14,,2.2,25,1,3.05,,0
129,서산,2025-04-01 13:00,14.9,,1.8,22,1,3.26,,0
129,서산,2025-04-01 14:00,16,,3.2,29,1,3.16,,0
129,서산,2025-04-01 15:00,15.2,,4.3,30,1,2.84,,0
129,서산,2025-04-01 16:00,15.1,,2.8,27,1,2.29,,0
129,서산,2025-04-01 17:00,14,,3.1,27,.9,1.57,,0
129,서산,2025-04-01 18:00,12.3,,2.5,34,1,.79,,0
129,서산,2025-04-01 19:00,10.1,,1.1,38,.6,.18,,0
129,서산,2025-04-01 20:00,7.2,,.9,45,,,,0
129,서산,2025-04-01 21:00,6.2,,1,53,,,,0
129,서산,2025-04-01 22:00,4.8,,1,61,,,,0
129,서산,2025-04-01 23:00,3.5,,.9,66,,,,0
129,서산,2025-04-02 00:00,2.4,,0,72,,,,0
129,서산,2025-04-02 01:00,1.9,,1.6,70,,,,0
129,서산,2025-04-02 02:00,1.9,,.6,67,,,,0
129,서산,2025-04-02 03:00,.9,,.5,74,,,,0
129,서산,2025-04-02 04:00,.3,,.8,85,,,,0
129,서산,2025-04-02 05:00,.4,,.2,84,,,,0
129,서산,2025-04-02 06:00,-.5,,0,87,,,,0
129,서산,2025-04-02 07:00,.1,,.2,88,.1,.06,,0
129,서산,2025-04-02 08:00,5.3,,1,55,.9,.52,,0
129,서산,2025-04-02 09:00,8.3,,.5,47,1,1.28,,0
129,서산,2025-04-02 10:00,12.6,,2.1,24,1,1.99,,0
129,서산,2025-04-02 11:00,13.3,,3.2,21,1,2.4,,8
129,서산,2025-04-02 12:00,12.4,,3.3,32,.4,1.66,,10
129,서산,2025-04-02 13:00,12.3,,4.9,22,.3,1.76,,10
129,서산,2025-04-02 14:00,10.9,,3.1,27,0,1.2,,9
