날짜,설비용량(메가와트),경도,위도,발전기명,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2022-04-01,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1728,34464,142800,298128,430944,503760,545088,551904,532560,464832,348864,140784,8112,0,0,0,0,0
2022-04-02,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1488,36096,149904,303120,427296,502224,544608,546912,521664,442032,279648,90432,22128,0,0,0,0,0
2022-04-03,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1680,38160,146976,297072,417744,491328,532560,541056,507552,435984,321984,133248,12000,0,0,0,0,0
2022-04-04,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,2160,39216,148464,301200,415824,498192,534240,545760,517872,449328,328368,138624,11184,0,0,0,0,0
2022-04-05,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,2976,48960,147456,271920,376368,410016,469296,483024,436464,326112,235920,90864,16080,0,0,0,0,0
2022-04-06,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,14352,100656,187488,422016,490608,525648,525360,492192,424848,311424,135984,12336,0,0,0,0,0
2022-04-07,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,22992,134784,291360,417312,499872,543360,544512,505632,433824,320208,137520,13680,0,0,0,0,0
2022-04-08,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,2448,41616,152688,302592,418128,493968,529104,529296,497808,432480,324768,143616,12048,0,0,0,0,0
2022-04-09,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,3840,26544,82896,262128,388992,340704,493680,503280,470496,392208,264144,112896,17040,0,0,0,0,0
2022-04-10,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,3120,43488,146064,283824,393696,459216,496368,502272,479760,415152,308352,140208,14400,0,0,0,0,0
2022-04-11,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,2736,43728,131664,277632,396432,435168,380640,499536,472800,404736,298848,136704,17184,0,0,0,0,0
2022-04-12,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,144,31824,76512,143280,218640,443904,473712,408960,388608,243408,182208,15888,0,0,0,0,0,0
2022-04-13,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,480,2736,39264,28272,18144,19392,39408,27216,12960,22128,8352,624,0,0,0,0,0
2022-04-14,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,0,3648,22320,46080,67968,243840,487872,488640,327264,417600,309696,147504,27984,0,0,0,0,0
2022-04-15,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,5856,50640,175248,322416,427872,496608,535824,548112,514800,439488,309792,121104,21264,0,0,0,0,0
2022-04-16,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,8064,59232,174144,318432,415632,502128,517728,511056,515088,451104,341424,170496,27456,0,0,0,0,0
2022-04-17,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,7584,56832,176496,317808,432336,500928,536736,535344,508128,430608,302448,129696,24288,0,0,0,0,0
2022-04-18,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,7104,46944,130512,162720,266880,360960,500016,504048,486720,426816,301536,143376,21024,0,0,0,0,0
2022-04-19,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,9984,62256,169680,304944,412224,483264,516528,526944,486336,416592,307872,151920,29136,0,0,0,0,0
2022-04-20,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,9216,59856,175872,318576,423072,489648,530736,526848,494016,423600,317520,162432,31296,48,0,0,0,0
2022-04-21,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,12672,66720,142128,281472,354144,369552,284352,463344,327552,376032,273312,140688,29760,0,0,0,0,0
2022-04-22,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,5904,50832,67920,161088,188208,157392,158160,99168,96480,108528,65904,29232,4848,0,0,0,0,0
2022-04-23,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,13680,86544,159408,234480,318816,349344,420288,398640,478464,366672,269424,114048,37296,432,0,0,0,0
2022-04-24,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1008,21024,109008,235872,354384,435888,515808,528864,496224,426048,236976,58176,5184,0,0,0,0,0
2022-04-25,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,1584,41040,87600,115776,200736,285792,338016,249456,168096,102864,42432,12384,192,0,0,0,0,0
2022-04-26,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,10128,57360,162336,298272,429120,460272,460752,476160,449952,359376,170832,120720,53184,816,0,0,0,0
2022-04-27,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,14064,69024,180144,314496,420384,490560,524736,526464,496272,415200,304848,160272,38544,240,0,0,0,0
2022-04-28,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,15024,70656,168000,292320,391200,458736,491904,502416,452784,193680,119856,61968,8400,0,0,0,0,0
2022-04-29,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,768,14112,36720,309360,438240,442464,401664,287040,197664,212640,147360,79392,31104,288,0,0,0,0
2022-04-30,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,9792,63504,127152,212448,336096,333216,515712,486720,472224,272928,196464,92784,23952,96,0,0,0,0
2022-05-01,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,14304,68784,194832,334752,438432,505488,541152,545952,514752,439296,307488,122160,17904,0,0,0,0,0
2022-05-02,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,15936,72816,195696,319632,429504,502560,538368,543696,511248,441120,328800,184752,48960,720,0,0,0,0
2022-05-03,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,14448,69408,196944,334128,434160,492672,524064,520656,492432,430128,321456,182544,47808,624,0,0,0,0
2022-05-04,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,15696,69264,186192,320736,417360,480480,510288,513888,484560,417312,310032,172272,46176,720,0,0,0,0
2022-05-05,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,14016,66720,195888,334416,432384,498624,530016,530496,500256,436416,331056,195744,54096,816,0,0,0,0
2022-05-06,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,22656,73968,193104,322224,418656,480192,501360,475152,499584,435264,324720,154128,43008,3840,0,0,0,0
2022-05-07,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,4944,19104,47760,104928,282912,504096,534912,534528,504432,420432,320976,137280,56832,720,0,0,0,0
2022-05-08,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,9600,44592,110544,149280,242784,239328,128592,84240,106992,123888,47712,58224,7392,0,0,0,0,0
2022-05-09,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,384,22224,73968,201360,337872,438240,478080,520944,540624,502128,424368,314544,191232,51840,1056,0,0,0,0
2022-05-10,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,21120,61824,189456,334224,432528,503952,528576,525024,489456,419280,185856,106320,11952,0,0,0,0,0
2022-05-11,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,16416,79488,188112,326784,410400,457392,389232,489024,230832,306288,205200,96816,37920,912,0,0,0,0
2022-05-12,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,48,26112,85776,168336,310848,400368,478128,514560,511728,486048,417792,313152,177744,56544,1680,0,0,0,0
